Short Name	Real Name	Nick Name
IC4	2-methylpropane	isobutane
IC5	2-methylbutane	isopentane
NP	2,2-dimethylpropane	neopentane
IC6	2-methylpentane	isohexane
3MP	3-methylpentane	3-methylpentane
22MB	2,2-dimethylbutane	2,2-dimethylbutane
23MB	2,3-dimethylbutane	2,3-dimethylbutane
2MH	2-methylhexane	2-methylhexane
3MH	3-methylhexane	3-methylhexane
3EP	3-ethylpentane	3-ethylpentane
22MP	2,2-dimethylpentane	2,2-dimethylpentane
23MP	2,3-dimethylpentane	2,3-dimethylpentane
24MP	2,4-dimethylpentane	2,4-dimethylpentane
33MP	3,3-dimethylpentane	3,3-dimethylpentane
223MB	2,2,3-trimethylbutane	2,2,3-trimethylbutane
2MHE	2-methylheptane	2-methylheptane
3MHE	3-methylheptane	3-methylheptane
4MHE	4-methylheptane	4-methylheptane
3EH	3-ethylhexane	3-ethylhexane
22MH	2,2-dimethylhexane	2,2-dimethylhexane
23MH	2,3-dimethylhexane	2,3-dimethylhexane
24MH	2,4-dimethylhexane	2,4-dimethylhexane
25MH	2,5-dimethylhexane	2,5-dimethylhexane
33MH	3,3-dimethylhexane	3,3-dimethylhexane
34MH	3,4-dimethylhexane	3,4-dimethylhexane
2M3EP	2-methyl-3-ethylpentane	2-methyl-3-ethylpentane
3M3EP	3-methyl-3-ethylpentane	3-methyl-3-ethylpentane
223MP	2,2,3-trimethylpentane	2,2,3-trimethylpentane
IC8	2,2,4-trimethylpentane	isooctane
233MP	2,3,3-trimethylpentane	2,3,3-trimethylpentane
234MP	2,3,4-trimethylpentane	2,3,4-trimethylpentane
2233MB	2,2,3,3-tetramethylbutane	2,2,3,3-tetramethylbutane
C1	methane	methane
C2	ethane	ethane
C3	propane	propane
C4	butane	butane
C5	pentane	pentane
C6	hexane	hexane
C7	heptane	heptane
C8	octane	octane
C9	nonane	nonane
C10	decane	decane
C12	dodecane	dodecane
C14	tetradecane	tetradecane
C16	hexadecane	hexadecane
C2E	ethene	ethene
C3E	propene	propene
1C4E	1-butene	1-butene
1C5E	1-pentene	1-pentene
1C6E	1-hexene	1-hexene
1C7E	1-heptene	1-heptene
1C8E	1-octene	1-octene
c-2C4E	cis-2-butene	cis-2-butene
t-2C4E	trans-2-butene	trans-2-butene
c-2C5E	cis-2-pentene	cis-2-pentene
t-2C5E	trans-2-pentene	trans-2-pentene
13C4E	1,3-butadiene	1,3-butadiene
15C6E	1,5-hexadiene	1,5-hexadiene
IC4E	2-methylpropene 	isobutene
2M13C4E	2-Methylbuta-1,3-diene	isoprene
